warning: 422 functions have mismatched data
Filename                                                                          Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
home/h02332/po/research/cfl/fuzz_utils.h                                                8                 1    87.50%           2                 0   100.00%          12                 0   100.00%           4                 1    75.00%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccApplyBPC.cpp                         210               139    33.81%          11                 5    54.55%         339               237    30.09%         176               105    40.34%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccApplyBPC.h                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccArrayBasic.cpp                       204               116    43.14%          23                12    47.83%         373               196    47.45%         150                90    40.00%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccArrayBasic.h                           6                 6     0.00%           6                 6     0.00%           6                 6     0.00%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccArrayFactory.cpp                      52                 8    84.62%          10                 2    80.00%          91                16    82.42%          34                 6    82.35%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccArrayFactory.h                         7                 3    57.14%           7                 3    57.14%           7                 3    57.14%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccCAM.cpp                              114                25    78.07%          29                 2    93.10%         353                37    89.52%          64                24    62.50%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccCmm.cpp                             4558              2580    43.40%         270               143    47.04%        6422              3841    40.19%        3598              2277    36.71%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccCmm.h                                216               149    31.02%         194               134    30.93%         198               134    32.32%          26                17    34.62%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccCmmSearch.cpp                        192               192     0.00%          14                14     0.00%         275               275     0.00%         126               126     0.00%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccCmmSearch.h                            4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccConvertUTF.cpp                       592               403    31.93%          15                 9    40.00%         605               431    28.76%         428               276    35.51%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccEncoding.cpp                         198                69    65.15%          10                 2    80.00%         410               169    58.78%         142                68    52.11%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccEncoding.h                             2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccEnvVar.cpp                            17                13    23.53%           8                 4    50.00%          43                29    32.56%           6                 6     0.00%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccEnvVar.h                               2                 1    50.00%           2                 1    50.00%           2                 1    50.00%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccEval.cpp                              67                 5    92.54%           2                 0   100.00%          95                 9    90.53%          48                 7    85.42%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccIO.cpp                               409               126    69.19%          56                12    78.57%         558               181    67.56%         254               106    58.27%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccIO.h                                   8                 7    12.50%           8                 7    12.50%           8                 7    12.50%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMD5.cpp                              215                 1    99.53%           6                 0   100.00%         125                 1    99.20%          12                 1    91.67%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMatrixMath.cpp                       103                73    29.13%          12                 7    41.67%         136                96    29.41%          62                45    27.42%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMatrixMath.h                           4                 2    50.00%           4                 2    50.00%           4                 2    50.00%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMpeACS.cpp                           107                27    74.77%          15                 2    86.67%         157                43    72.61%          74                36    51.35%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMpeACS.h                              12                 7    41.67%          12                 7    41.67%          12                 7    41.67%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMpeBasic.cpp                        2503               693    72.31%         168                35    79.17%        3697              1230    66.73%        1894               698    63.15%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMpeBasic.h                            69                27    60.87%          69                27    60.87%          69                27    60.87%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMpeCalc.cpp                         2653               302    88.62%         155                12    92.26%        3514               360    89.76%        2280               311    86.36%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMpeCalc.h                             35                11    68.57%          31                11    64.52%          31                11    64.52%           4                 2    50.00%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMpeFactory.cpp                        63                10    84.13%           8                 2    75.00%         146                22    84.93%          86                 8    90.70%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMpeFactory.h                           6                 2    66.67%           6                 2    66.67%           6                 2    66.67%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMpeSpectral.cpp                      797               492    38.27%          42                20    52.38%        1214               774    36.24%         612               430    29.74%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccMpeSpectral.h                         78                48    38.46%          66                44    33.33%          66                44    33.33%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccPcc.cpp                              148               124    16.22%          18                17     5.56%         238               198    16.81%          98                84    14.29%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccPcc.h                                  1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccPrmg.cpp                              92                10    89.13%           7                 0   100.00%         140                18    87.14%          66                13    80.30%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccProfile.cpp                         1772               371    79.06%          60                21    65.00%        2388               576    75.88%        1682               341    79.73%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccProfile.h                              9                 4    55.56%           9                 4    55.56%          15                 8    46.67%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccSearch.h                             158               158     0.00%          27                27     0.00%         290               290     0.00%          98                98     0.00%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccSignatureUtils.h                      74                 1    98.65%           6                 1    83.33%          95                 5    94.74%         110                10    90.91%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccSolve.cpp                             21                 4    80.95%           8                 3    62.50%          34                10    70.59%          10                 2    80.00%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccSparseMatrix.cpp                     262               194    25.95%          16                 8    50.00%         429               314    26.81%         210               165    21.43%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccSparseMatrix.h                        46                32    30.43%          31                19    38.71%          31                19    38.71%          10                 9    10.00%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccStructBasic.cpp                      156                79    49.36%          30                 9    70.00%         268               128    52.24%         102                64    37.25%
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccStructBasic.h                         16                12    25.00%          16                12    25.00%          16                12    25.00%           0                 0         -
home/h02332/po/research/cfl/iccDEV/IccProfLib/IccStructFactory.cpp                     57                11    80.70%          10                 2    80.00%         101                24    76.24%          44                 9    79.55%
