# ICC Profile MPE CurveSet Export
# Tag: AToB1Tag
# Element: 0
# Channels: 3
# Samples: 4096
# Format: input(normalized 0-1) <tab> ch0_output ... chN_output
#
input	ch0	ch1	ch2
0.000000000	0.000000000	0.000000000	0.000000000
0.000244200	0.000018901	0.000018901	0.000018901
0.000488401	0.000037802	0.000037802	0.000037802
0.000732601	0.000056703	0.000056703	0.000056703
0.000976801	0.000075604	0.000075604	0.000075604
0.001221001	0.000094505	0.000094505	0.000094505
0.001465201	0.000113406	0.000113406	0.000113406
0.001709402	0.000132307	0.000132307	0.000132307
0.001953602	0.000151208	0.000151208	0.000151208
0.002197802	0.000170109	0.000170109	0.000170109
0.002442003	0.000189009	0.000189009	0.000189009
0.002686203	0.000207910	0.000207910	0.000207910
0.002930403	0.000226811	0.000226811	0.000226811
0.003174603	0.000245712	0.000245712	0.000245712
0.003418803	0.000264613	0.000264613	0.000264613
0.003663004	0.000283514	0.000283514	0.000283514
0.003907204	0.000302415	0.000302415	0.000302415
0.004151404	0.000321316	0.000321316	0.000321316
0.004395605	0.000340217	0.000340217	0.000340217
0.004639805	0.000359118	0.000359118	0.000359118
0.004884005	0.000378019	0.000378019	0.000378019
0.005128205	0.000396920	0.000396920	0.000396920
0.005372406	0.000415821	0.000415821	0.000415821
0.005616606	0.000434722	0.000434722	0.000434722
0.005860806	0.000453623	0.000453623	0.000453623
0.006105006	0.000472524	0.000472524	0.000472524
0.006349206	0.000491425	0.000491425	0.000491425
0.006593407	0.000510326	0.000510326	0.000510326
0.006837607	0.000529227	0.000529227	0.000529227
0.007081807	0.000548127	0.000548127	0.000548127
0.007326007	0.000567028	0.000567028	0.000567028
0.007570208	0.000585929	0.000585929	0.000585929
0.007814408	0.000604830	0.000604830	0.000604830
0.008058609	0.000623731	0.000623731	0.000623731
0.008302809	0.000642632	0.000642632	0.000642632
0.008547009	0.000661533	0.000661533	0.000661533
0.008791209	0.000680434	0.000680434	0.000680434
0.009035409	0.000699335	0.000699335	0.000699335
0.009279610	0.000718236	0.000718236	0.000718236
0.009523810	0.000737137	0.000737137	0.000737137
0.009768010	0.000756038	0.000756038	0.000756038
0.010012210	0.000774939	0.000774939	0.000774939
0.010256411	0.000793840	0.000793840	0.000793840
0.010500611	0.000812741	0.000812741	0.000812741
0.010744811	0.000831642	0.000831642	0.000831642
0.010989011	0.000850543	0.000850543	0.000850543
0.011233211	0.000869444	0.000869444	0.000869444
0.011477412	0.000888345	0.000888345	0.000888345
0.011721612	0.000907245	0.000907245	0.000907245
0.011965812	0.000926146	0.000926146	0.000926146
0.012210012	0.000945047	0.000945047	0.000945047
0.012454213	0.000963948	0.000963948	0.000963948
0.012698413	0.000982849	0.000982849	0.000982849
0.012942613	0.001001750	0.001001750	0.001001750
0.013186813	0.001020651	0.001020651	0.001020651
0.013431014	0.001039552	0.001039552	0.001039552
0.013675214	0.001058453	0.001058453	0.001058453
0.013919414	0.001077354	0.001077354	0.001077354
0.014163614	0.001096255	0.001096255	0.001096255
0.014407814	0.001115156	0.001115156	0.001115156
0.014652015	0.001134057	0.001134057	0.001134057
0.014896215	0.001152958	0.001152958	0.001152958
0.015140415	0.001171859	0.001171859	0.001171859
0.015384615	0.001190760	0.001190760	0.001190760
0.015628817	0.001209661	0.001209661	0.001209661
0.015873017	0.001228562	0.001228562	0.001228562
0.016117217	0.001247463	0.001247463	0.001247463
0.016361417	0.001266364	0.001266364	0.001266364
0.016605617	0.001285265	0.001285265	0.001285265
0.016849818	0.001304165	0.001304165	0.001304165
0.017094018	0.001323066	0.001323066	0.001323066
0.017338218	0.001341967	0.001341967	0.001341967
0.017582418	0.001360868	0.001360868	0.001360868
0.017826619	0.001379769	0.001379769	0.001379769
0.018070819	0.001398670	0.001398670	0.001398670
0.018315019	0.001417571	0.001417571	0.001417571
0.018559219	0.001436472	0.001436472	0.001436472
0.018803420	0.001455373	0.001455373	0.001455373
0.019047620	0.001474274	0.001474274	0.001474274
0.019291820	0.001493175	0.001493175	0.001493175
0.019536020	0.001512076	0.001512076	0.001512076
0.019780220	0.001530977	0.001530977	0.001530977
0.020024421	0.001549878	0.001549878	0.001549878
0.020268621	0.001568779	0.001568779	0.001568779
0.020512821	0.001587680	0.001587680	0.001587680
0.020757021	0.001606581	0.001606581	0.001606581
0.021001222	0.001625482	0.001625482	0.001625482
0.021245422	0.001644382	0.001644382	0.001644382
0.021489622	0.001663283	0.001663283	0.001663283
0.021733822	0.001682184	0.001682184	0.001682184
0.021978023	0.001701085	0.001701085	0.001701085
0.022222223	0.001719986	0.001719986	0.001719986
0.022466423	0.001738887	0.001738887	0.001738887
0.022710623	0.001757788	0.001757788	0.001757788
0.022954823	0.001776689	0.001776689	0.001776689
0.023199024	0.001795590	0.001795590	0.001795590
0.023443224	0.001814491	0.001814491	0.001814491
0.023687424	0.001833392	0.001833392	0.001833392
0.023931624	0.001852293	0.001852293	0.001852293
0.024175825	0.001871194	0.001871194	0.001871194
0.024420025	0.001890095	0.001890095	0.001890095
0.024664225	0.001908996	0.001908996	0.001908996
0.024908425	0.001927897	0.001927897	0.001927897
0.025152626	0.001946798	0.001946798	0.001946798
0.025396826	0.001965699	0.001965699	0.001965699
0.025641026	0.001984600	0.001984600	0.001984600
0.025885226	0.002003500	0.002003500	0.002003500
0.026129426	0.002022401	0.002022401	0.002022401
0.026373627	0.002041302	0.002041302	0.002041302
0.026617827	0.002060203	0.002060203	0.002060203
0.026862027	0.002079104	0.002079104	0.002079104
0.027106227	0.002098005	0.002098005	0.002098005
0.027350428	0.002116906	0.002116906	0.002116906
