# ICC Profile MPE CurveSet Export
# Tag: BToA1Tag
# Element: 1
# Channels: 3
# Samples: 4096
# Format: input(normalized 0-1) <tab> ch0_output ... chN_output
#
input	ch0	ch1	ch2
0.000000000	0.000000000	0.000000000	0.000000000
0.000244200	0.003155067	0.003155067	0.003155067
0.000488401	0.006310135	0.006310135	0.006310135
0.000732601	0.009465202	0.009465202	0.009465202
0.000976801	0.012620269	0.012620269	0.012620269
0.001221001	0.015775336	0.015775336	0.015775336
0.001465201	0.018930404	0.018930404	0.018930404
0.001709402	0.022085471	0.022085471	0.022085471
0.001953602	0.025240539	0.025240539	0.025240539
0.002197802	0.028395606	0.028395606	0.028395606
0.002442003	0.031550672	0.031550672	0.031550672
0.002686203	0.034705739	0.034705739	0.034705739
0.002930403	0.037860807	0.037860807	0.037860807
0.003174603	0.041004092	0.041004092	0.041004092
0.003418803	0.044014782	0.044014782	0.044014782
0.003663004	0.046902463	0.046902463	0.046902463
0.003907204	0.049679913	0.049679913	0.049679913
0.004151404	0.052357830	0.052357830	0.052357830
0.004395605	0.054945357	0.054945357	0.054945357
0.004639805	0.057450317	0.057450317	0.057450317
0.004884005	0.059879489	0.059879489	0.059879489
0.005128205	0.062238805	0.062238805	0.062238805
0.005372406	0.064533450	0.064533450	0.064533450
0.005616606	0.066768028	0.066768028	0.066768028
0.005860806	0.068946622	0.068946622	0.068946622
0.006105006	0.071072884	0.071072884	0.071072884
0.006349206	0.073150091	0.073150091	0.073150091
0.006593407	0.075181194	0.075181194	0.075181194
0.006837607	0.077168874	0.077168874	0.077168874
0.007081807	0.079115562	0.079115562	0.079115562
0.007326007	0.081023477	0.081023477	0.081023477
0.007570208	0.082894631	0.082894631	0.082894631
0.007814408	0.084730901	0.084730901	0.084730901
0.008058609	0.086534016	0.086534016	0.086534016
0.008302809	0.088305511	0.088305511	0.088305511
0.008547009	0.090046875	0.090046875	0.090046875
0.008791209	0.091759436	0.091759436	0.091759436
0.009035409	0.093444474	0.093444474	0.093444474
0.009279610	0.095103152	0.095103152	0.095103152
0.009523810	0.096736573	0.096736573	0.096736573
0.009768010	0.098345734	0.098345734	0.098345734
0.010012210	0.099931575	0.099931575	0.099931575
0.010256411	0.101495035	0.101495035	0.101495035
0.010500611	0.103036903	0.103036903	0.103036903
0.010744811	0.104558013	0.104558013	0.104558013
0.010989011	0.106059082	0.106059082	0.106059082
0.011233211	0.107540809	0.107540809	0.107540809
0.011477412	0.109003879	0.109003879	0.109003879
0.011721612	0.110448875	0.110448875	0.110448875
0.011965812	0.111876450	0.111876450	0.111876450
0.012210012	0.113287099	0.113287099	0.113287099
0.012454213	0.114681400	0.114681400	0.114681400
0.012698413	0.116059847	0.116059847	0.116059847
0.012942613	0.117422886	0.117422886	0.117422886
